Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Cantril ladder score,Population (historical)
Afghanistan,AFG,2021,1516.2733,2.4038,40000411
Albania,ALB,2022,15492.067,5.2773,2827615
Algeria,DZA,2022,11198.233,5.3291,45477391
Angola,AGO,2017,7216.0615,3.7948,30234837
Argentina,ARG,2022,22461.441,6.0237,45407904
Armenia,ARM,2022,16057.007,5.3417,2880883
Australia,AUS,2022,51090.26,7.0946,26200987
Austria,AUT,2022,55867.184,7.0973,9064679
Azerbaijan,AZE,2021,14433.904,5.1734,10234373
Bahrain,BHR,2022,51854.715,6.1732,1533459
Bangladesh,BGD,2022,6263.0044,4.2821,169384890
Belarus,BLR,2021,19872.693,5.8215,9251367
Belgium,BEL,2022,53287.152,6.8591,11641813
Belize,BLZ,2017,8798.699,5.9556,373216
Benin,BEN,2022,3435.1716,4.3737,13759507
Bhutan,BTN,2018,11931.663,5.0821,759767
Bolivia,BOL,2022,8244.235,5.6843,12077155
Bosnia and Herzegovina,BIH,2022,16737.227,5.6325,3204805
Botswana,BWA,2022,15518.651,3.4353,2439895
Brazil,BRA,2022,15093.465,6.1246,210306411
Bulgaria,BGR,2022,26961.291,5.4661,6825863
Burkina Faso,BFA,2022,2158.8584,4.6376,22509037
Burundi,BDI,2020,711.3553,3.7753,12617042
Cambodia,KHM,2022,4533.8643,4.3935,17201717
Cameroon,CMR,2022,3723.5322,4.9732,27632771
Canada,CAN,2022,49296.38,6.9607,38821260
Central African Republic,CAF,2019,861.7668,3.4759,4944707
Chad,TCD,2022,1412.6708,4.3966,18455319
Chile,CHL,2022,25886.121,6.3338,19553032
China,CHN,2022,18187.842,5.8179,1425179562
Colombia,COL,2022,15616.752,5.6304,51737944
Comoros,COM,2022,3245.7688,3.5452,834192
Congo,COG,2022,3670.1997,5.2671,6035107
Costa Rica,CRI,2022,22070.922,6.6085,5081765
Cote d'Ivoire,CIV,2022,5537.3696,5.0527,30395003
Croatia,HRV,2022,34302.348,6.125,3907031
Cyprus,CYP,2022,44996.316,6.13,1331376
Czechia,CZE,2022,41052.348,6.8452,10673216
Democratic Republic of Congo,COD,2022,1132.6542,3.2072,102396974
Denmark,DNK,2022,59935.12,7.5864,5902898
Djibouti,DJI,2014,3854.27,4.369,1002720
Dominican Republic,DOM,2022,19338.016,5.5689,11230734
Ecuador,ECU,2022,10859.218,5.5589,17823900
Egypt,EGY,2022,12780.76,4.1705,112618251
El Salvador,SLV,2022,9396.014,6.1216,6280316
Estonia,EST,2022,37711.82,6.4552,1350092
Eswatini,SWZ,2021,9086.701,4.3961,1206599
Ethiopia,ETH,2022,2381.1658,4.0906,125384285
Finland,FIN,2022,49275.152,7.8042,5569299
France,FRA,2022,45904.41,6.6613,66277412
Gabon,GAB,2022,13939.787,5.0347,2430752
Gambia,GMB,2022,2113.6147,4.2794,2636473
Georgia,GEO,2022,17078.342,5.1091,3794783
Germany,DEU,2022,53969.625,6.8918,84086228
Ghana,GHA,2022,5480.33,4.605,33149151
Greece,GRC,2022,31704.426,5.9309,10412481
Guatemala,GTM,2022,9162.053,6.1503,17847877
Guinea,GIN,2022,2699.129,5.0717,14055137
Guyana,GUY,2011,10394.153,5.992826,746158
Haiti,HTI,2020,2970.463,3.6149,11243847
Honduras,HND,2022,5709.124,6.0225,10463881
Hong Kong,HKG,2022,58478.883,5.3085,7465914
Hungary,HUN,2022,35356.777,6.0412,9684306
Iceland,ISL,2022,55567.438,7.5296,380368
India,IND,2022,7112.0396,4.0358,1425423212
Indonesia,IDN,2022,12409.759,5.2769,278830529
Iran,IRN,2022,15461.079,4.8763,89524247
Iraq,IRQ,2022,9199.0205,4.9409,44070556
Ireland,IRL,2022,112445.42,6.9108,5110013
Israel,ISR,2022,44393.3,7.4729,9103144
