,Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)",Cantril ladder score,Population (historical),Freedom Index
117,Philippines,PHL,2022,8581.9375,5.5229,113964342,6.52
118,Poland,POL,2022,37706.605,6.2597,38385734,7.66
119,Portugal,PRT,2022,35767.723,5.968,10417075,8.2
120,Puerto Rico,PRI,2015,34311.03,7.039,3521810,
121,Qatar,QAT,2018,91461.62,6.3745,2761145,5.73
122,Romania,ROU,2022,32495.908,6.5891,19166776,7.89
123,Russia,RUS,2022,27450.45,5.6607,145579890,6.01
124,Rwanda,RWA,2021,2237.514,3.2682,13355260,5.93
125,Saudi Arabia,SAU,2022,50188.297,6.4626,32175352,4.56
126,Senegal,SEN,2022,3564.6282,4.8551,17651099,6.7
127,Serbia,SRB,2022,20885.889,6.1436,6791218,7.16
128,Sierra Leone,SLE,2022,1634.7638,3.1376,8276808,6.53
129,Singapore,SGP,2022,108036.11,6.5867,5649886,7.7
130,Slovakia,SVK,2022,33176.184,6.4686,5473194,7.94
131,Slovenia,SVN,2022,41015.227,6.6499,2115230,7.88
132,Somalia,SOM,2018,1547.9973,4.6679,15452489,4.67
133,South Africa,ZAF,2022,13478.754,5.2746,62378419,6.93
134,South Korea,KOR,2022,45560.125,5.9511,51782514,8.11
135,Spain,ESP,2022,40223.01,6.4362,47828386,8.08
136,Sri Lanka,LKA,2022,12200.138,4.4416,22834964,6.33
137,Sudan,SDN,2017,4613.95,4.1387,42714312,4.31
138,Suriname,SUR,2015,18768.572,6.269,581633,7.2
139,Sweden,SWE,2022,55359.344,7.3952,10487333,8.66
140,Switzerland,CHE,2022,72278.21,7.2401,8792180,8.94
141,Tajikistan,TJK,2022,4137.278,5.3298,10182229,5.49
142,Tanzania,TZA,2022,2623.8616,3.6938,64711821,6.24
143,Thailand,THA,2022,17507.621,5.843,71735320,6.49
144,Togo,TGO,2022,2202.7268,4.1374,9089742,6.25
145,Trinidad and Tobago,TTO,2019,25698.006,6.1919,1484898,7.53
146,Tunisia,TUN,2022,10569.051,4.4967,12119336,6.25
147,Turkey,TUR,2022,33149.5,4.6135,87058470,5.71
148,Turkmenistan,TKM,2021,14696.823,5.4743,7092041,
149,Uganda,UGA,2022,2280.0737,4.4325,47312718,6.13
150,Ukraine,UKR,2022,10731.44,5.0714,41048767,6.68
151,United Arab Emirates,ARE,2022,74917.67,6.5712,10242085,5.76
152,United Kingdom,GBR,2022,47587.168,6.7956,68179315,8.3
153,United States,USA,2022,64623.125,6.8937,341534041,8.23
154,Uruguay,URY,2022,24426.66,6.4939,3390913,7.97
155,Uzbekistan,UZB,2022,8073.2104,6.0143,34938955,
156,Vietnam,VNM,2022,11396.531,5.7633,99680656,5.64
157,World,OWID_WRL,2022,17527.19,5.2261734,8021407170,
158,Zambia,ZMB,2022,3365.8738,3.9822,20152934,6.38
159,Zimbabwe,ZWE,2022,2207.957,3.2035,16069061,5.25
